Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL
1,,M05LOCK,1X05_LOCK,JP1,Header 5,,,-
1,PCM2707,PCM2707C_TQFP32,U1,"Stereo Audio DAC with USB Interface, Single-Ended Headphone Output, and S/PDIF Output",,,,1755016
2,1.5kOhm,RESISTOR0805-RES,0805,"R3, R11",Resistor,,,1652940
2,100uF,CAP_POLD,PANASONIC_D,"C10, C11",Capacitor Polarized,,,9694331
1,10uF,CAP_POLC,PANASONIC_C,C2,Capacitor Polarized,,,9694471
1,12MHz,CRYSTALHC49U-V,HC49U-V,Q1,CRYSTAL,,,1666969
2,16Ohm,RESISTOR0805-RES,0805,"R2, R4",Resistor,,,2138753
1,1A FB,INDUCTOR0805,0805,L1,Inductors,,,
1,1MOhm,RESISTOR0805-RES,0805,R1,Resistor,,,1652946
5,1uF,CAP0805,0805,"C1, C3, C7, C9, C12",Capacitor,,,1759422
2,22Ohm,RESISTOR0805-RES,0805,"R7, R9",Resistor,,,1652962
2,22nF,CAP1210,1210,"C6, C8",Capacitor,,,2320947
2,22pF,CAP0805,0805,"C4, C5",Capacitor,,,1759195
4,3.3kOhm,RESISTOR0805-RES,0805,"R5, R6, R8, R10",Resistor,,,1469911
1,330Ohm,RESISTOR0805-RES,0805,R13,Resistor,,,1469918
1,560Ohm,RESISTOR0805-RES,0805,R12,Resistor,,,1469945
1,87758-0216,87758-0216,87758-0216,DOUT,"2 Pin - 2mm Dual Row Single Wafer, Vertical T/H HDR",,87758-0216,-
1,AUDIO,MA03-1,MA03-1,OUTPUT,PIN HEADER,,,-
2,Blue,LED0603,LED-0603,"LED1, LED2",LEDs,,,
1,GND,GND_SMD,GND_CONNECTOR,CON1,,,,-
1,STEREOJACK,STEREOJACK,STX3100,JACK-OUT,MIC/HEADPHONE JACK,,,2518188
1,USB,47346-0001,MOLEX_47346-0001,J1,CONN RCPT 5POS MICRO USB R/A  SMD,,47346-0001,1568026
1,USB-WIRE,MA04-1,MA04-1,SV1,PIN HEADER,,,unknown
